Sr No;Date dd/mm/yyyy;Startup Name;Industry Vertical;SubVertical;City  Location;Investors Name;InvestmentnType;Amount in USD;Remarks
1335;2016/10/29;Velmenni;Technology;LiFi based wireless communication provider;New Delhi;Kalaari Capital;Seed Funding;1,00,000;nan
1336;2016/10/29;Volta Motors;Technology;Electric Bike Manufacturer;Chennai;Kalaari Capital;Seed Funding;1,00,000;nan
1337;2016/10/29;Cyclops;Technology;Clinical and Wearable Diagnostic Product creator;Bangalore;Kalaari Capital;Seed Funding;1,00,000;nan
1338;2016/10/30;Impact Analytics;Technology;Business intelligence and data science Startup;Bangalore;Aarin Capital, Michael Herzig, Ashish Lakhanpal;Private Equity;7,50,000;nan
1339;2016/10/31;Talent Next;Consumer Internet;Talent Discovery & Audition management platform;Mumbai;Karanpal Singh & Others;Seed Funding;10,00,000;nan
1340;2016/09/01;Mad Street Den;Technology;Artificial Intelligence platform;Chennai;Sequoia India, Exfinity Ventures, growX ventures,;Private Equity;N/A;nan
1341;2016/09/01;Mihup;Technology;Personal Digital Assistant;Kolkata;Accel Partners;Private Equity;67,00,000;nan
1342;2016/09/01;Renowala;eCommerce;Home Improvement Marketplace;Hyderabad;Pradeep Dhobale;Seed Funding;N/A;nan
1343;2016/09/01;Lucideus;Technology;IT Risk Assessment and Digital Security Services provider.;New Delhi;Amit Choudhary;Seed Funding;N/A;nan
1344;2016/09/04;Trackbizz;Technology;Field Force Automation System;Kochi;Grasshoppers;Private Equity;N/A;nan
1345;2016/09/05;Social Quotient;Technology;Platform for Social Causes;Mumbai;Anita Dongre, Yash Dongre, Milind Sarwate;Seed Funding;N/A;nan
1346;2016/09/05;Stalk Buy Love;eCommerce;Fashion Apparel eTailer;New Delhi;William Bissel;Seed Funding;N/A;nan
1347;2016/09/06;eShakti;eCommerce;Women\xe2\x80\x99s Fashion Apparel eTailer;Chennai;Infina Finance Pvt. Ltd, Uday Kotak;Private Equity;13,50,000;nan
1348;2016/09/06;CheersOye!;Consumer Internet;Online Gift Vouchers platform;Mumbai;Undisclosed Investors;Seed Funding;5,00,000;nan
1349;2016/09/06;Lenskart;eCommerce;Online Eyewear eTailer;New Delhi;PremjiInvest;Private Equity;N/A;nan
1350;2016/09/06;BigStylist;Consumer Internet;Hyperlocal doorstep Beauty Services provider;Mumbai;Info Edge (India) Ltd;Private Equity;9,00,000;nan
1351;2016/09/07;Zilingo;eCommerce;Online Fashion Retailer;Bangalore/ Bangkok;Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage;Private Equity;80,00,000;nan
1352;2016/09/07;Alternacare;Consumer Internet;Online Doctor Consulting platform;New Delhi;Eros Labs;Seed Funding;5,00,000;nan
1353;2016/09/07;Simplilearn;Education;Online Certification programs;Bangalore;InnoVen Capital India;Private Equity;60,00,000;nan
1354;2016/09/07;Prozo;eCommerce;Study Material Marketplace;Gurgaon;Earlsfield Capital, Sailender Solanki, Rajiv Solanki;Seed Funding;3,15,000;nan
1355;2016/09/08;TopRankers;Education;Online Test Preparation platform;Bangalore;CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,;Seed Funding;6,70,000;nan
1356;2016/09/08;BuildTraders;eCommerce;Online Construction Materials Marketplace;Bangalore;Idein Ventures;Seed Funding;2,00,000;nan
