Sr No;Date dd/mm/yyyy;Startup Name;Industry Vertical;SubVertical;City  Location;Investors Name;InvestmentnType;Amount in USD;Remarks
1;2020/01/09;BYJU’S;E-Tech;E-learning;Bengaluru;Tiger Global Management;Private Equity Round;20,00,00,000;
2;2020/01/13;Shuttl;Transportation;App based shuttle service;Gurgaon;Susquehanna Growth Equity;Series C;80,48,394;
3;2020/01/09;Mamaearth;E-commerce;Retailer of baby and toddler products;Bengaluru;Sequoia Capital India;Series B;1,83,58,860;
4;2020/01/02;https://www.wealthbucket.in/;FinTech;Online Investment;New Delhi;Vinod Khatumal;Pre-series A;30,00,000;
5;2020/01/02;Fashor;Fashion and Apparel;Embroiled Clothes For Women;Mumbai;Sprout Venture Partners;Seed Round;18,00,000;
6;2020/01/13;Pando;Logistics;Open-market, freight management platform;Chennai;Chiratae Ventures;Series A;90,00,000;
7;2020/01/10;Zomato;Hospitality;Online Food Delivery Platform;Gurgaon;Ant Financial;Private Equity Round;15,00,00,000;
8;2019/12/12;Ecozen;Technology;Agritech;Pune;Sathguru Catalyzer Advisors;Series A;60,00,000;
9;2019/12/06;CarDekho;E-Commerce;Automobile;Gurgaon;Ping An Global Voyager Fund;Series D;7,00,00,000;
10;2019/12/03;Dhruva Space;Aerospace;Satellite Communication;Bengaluru;Mumbai Angels, Ravikanth Reddy;Seed;5,00,00,000;
11;2019/12/13;Rivigo;Technology;Logistics Services and Solutions;Gurgaon;SAIF Partners, Spring Canter Investment Ltd.;Series F;2,00,00,000;
12;2019/12/17;Healthians;B2B-focused foodtech startup;Food Solutions For Corporate;Bengaluru;Paytm, NPTK, Sabre Partners and Neoplux;Series C;1,20,00,000;
13;2019/12/16;Licious;E-Commerce;Online Meat And Seafood Ordering Startup;Bengaluru;Vertex Growth Fund;Series E;3,00,00,000;
14;2019/12/16;InCred;Finance;Non-Banking Financial Company;Mumbai;;Debt Funding;59,00,000;
15;2019/12/14;Trell;Video;Experience Discovery Platform;Bengaluru;Ruizheng Investment;Seed Round;20,00,000;
16;2019/12/11;Rein Games;Gaming;Real money based gaming startup;Noida;Manipal Education and Medical Group (MEMG);Seed Round;5,00,00,000;
17;2019/12/20;Lenskart.com;E-Commerce;Online Eyewear Shopping Portal;Faridabad;SoftBank Vision Fund;Series G;23,10,00,000;
18;2019/11/13;Freshworks;Software;Business and customer engagement tools;San Francisco;Sequoia, CapitalG, Accel;Series H;15,00,00,000;
19;2019/11/14;Misters;Health and wellness;Men's Health and Wellness brand;Gurgaon;Sauce.vc, Rainforest Ventures;Series B;4,86,000;
20;2019/11/13;Sunstone Eduversity Pvt. Ltd;Education;Elearning;Gurgaon;Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg;Seed;15,00,000;
21;2019/11/17;Burger Singh;Food and Beverage;Indian Burger Brand;Gurgaon;RB Investments;Venture;undisclosed;
22;2019/11/18;Healthians;Health and Wellness;Healthcare services;Gurgaon;DG Daiwa Ventures, DG Incubation;Series B;1,20,00,000;
23;2019/11/15;Ninjacart;B2B Marketing;Agritech;Bengaluru;Trifecta Capital Advisors;Debt Funding;2,60,00,000;
24;2019/11/20;Aye Finance;FinTech;Financial Services To MSMEs;Gurgaon;FinTech;Debt Funding;1,74,11,265;
25;2019/11/12;SuperGaming;Video Games;Social gaming platform;Pune;Dream Incubator;Seed Funding;13,00,000;
26;2019/11/20;Clumio;SaaS;Recovery software;San Jose,;Altimeter Capital, Sutter Hill Ventures;Series C;13,50,00,000;
27;2019/11/11;eBikeGo;Last Mile Transportation;Electric bike rental;Amritsar;Startup Buddy;Seed;3,00,000;
28;2019/11/19;Digital Mall Asia;E-Commerce;Virtual e-commerce platform;Delhi;Amour Infrastructure;Seed Funding;22,00,00,000;
29;2019/11/18;Medikabazaar;Healthcare;B2B platform for medical supplies;Mumbai;Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing;Series B;1,58,00,000;
30;2019/11/15;Vogo Automotive;Last Mile Transportation;Scooter sharing app;Kormangala;Matrix Partners, Stellaris Venture Partners, Kalaari Capital;Series B;28,30,00,000;
31;2019/11/19;Furtados School of Music;Education;Music Education;Tulangan;IAN Fund and DSG Consumer Partners;;20,00,00,000;
32;2019/11/25;Paytm;FinTech;Mobile Wallet;Noida;Vijay Shekhar Sharma;Funding Round;1,00,00,00,000;
33;2019/10/04;Dunzo;Customer Service;Delivery Service;Bengaluru;Lightbox;Series D;4,50,00,000;
34;2019/10/02;Udaan;B2B;Business development;Bengaluru;Altimeter Capital, DST Global;Series D;58,50,00,000;
35;2019/10/21;The Man Company;Consumer Goods;Beauty and Grooming;Gurgaon;Ayushmann Khurana;Corporate Round;unknown;
36;2019/09/05;FPL Technologies;FinTech;Financial Services;Pune;Matrix Partners India, Sequoia India;Maiden Round;45,00,000;
37;2019/09/04;Cashflo;FinTech;Invoice discounting platform and SME lending marketplace;Mumbai;SAIF Partners;Series A;33,00,000;
38;2019/09/04;Digital F5;Advertising, Marketing;Digital marketing firm;Mumbai;TIW Private Equity;Private Equity Round;60,00,000;
39;2019/09/04;3rdFlix;SaaS;Education Technology;Hyderabad;Exfinity Venture Partners;pre-series A;50,00,000;
40;2019/09/04;75F;IoT;Building automation system;Burnsville;Breakthrough Energy Ventures;Series A;1,80,00,000;
41;2019/09/04;Myelin Foundry;Information Technology;Deep-technology;Bengaluru;Endiya Partners;Seed;10,00,000;
42;2019/09/04;Atomberg Technology;Consumer Technology;Consumer Electronics, Home Appliances;Mumbai;A91 Partners;Series A;1,00,00,000;
43;2019/09/04;GOQii;Health and Wellness;Wearable Fitness Bands;Menlo Park;Bennett Coleman and Company Ltd (BCCL);Series C;45,00,00,000;
44;2019/09/03;Vyapar App;Accounting;Mobile-based Accounting Software;Bengaluru;India Quotient, Axilor Ventures;Series A;50,00,000;
45;2019/08/01;CarDekho;E-Commerce;Automotive;Gurgaon;SC GG India Mobility Holdings LLC;Series C;2,00,00,000;nan
46;2019/08/01;Progcap;Finance;Supply Chain Management;New Delhi;Sequoia India;Series A;50,00,000;nan
47;2019/08/01;MyPetrolPump;Retail;Fuel Delivery;Bengaluru;;Seed Funding Round;16,00,000;nan
48;2019/08/01;Alteria Capital;Finance;VC Funds;Mumbai;Azim Premji, Binny Bansal;Single Venture;14,00,00,000;nan
49;2019/08/01;Pine Labs;Information Technology;Last-mile retail transaction technology;Noida;Pine Labs Pte Ltd;Corporate Round;3,80,80,000;nan
50;2019/08/12;Meesho;E-Commerce;Social Commerce;Bengaluru;Naspers;Series D;12,50,00,000;nan
51;2019/08/13;Cars24;E-Commerce;Car Retail;Gurugram;MS Dhoni;Series D;1,10,00,000;nan
52;2019/08/13;Uniphore;Customer Service Platform;Conversational AI;Palo Alto;March Capital Partners;Series C;5,10,00,000;nan
53;2019/08/23;Zendrive;Automotive;Road Safety Analytics;San Francisco;XL Innovate;Series B;3,70,00,000;nan
54;2019/08/23;Lo! Foods;Consumer Goods;Low carb food for Diabetics;Bengaluru;Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow);Seed Round;5,00,000;nan
55;2019/08/23;Tala;FinTech;Digital Lending Platform;Santa Monica;RPS Ventures;Series D;11,00,00,000;nan
56;2019/08/22;INDwealth;FinTech;Wealth Management;Gurgaon;Tiger Global Management;Venture Round;1,50,00,000;nan
57;2019/08/21;HungerBox;Food and Beverage;B2B Foodtech;Bengaluru;One97 Communications Ltd.;Series C;65,90,000;nan
58;2019/08/23;AdmitKard;EdTech;University Admissions;Noida;Growth DNA;Seed Round;10,00,000;nan
59;2019/08/19;Mishry Reviews;Services;Product Review;Gurgaon;Vir Sanghvi;Series A;Undisclosed;nan
60;2019/08/19;Grofers;E-Commerce;Grocery Delivery;Gurgaon;Softbank Vision Fund;Series F;7,00,00,000;nan
61;2019/08/27;Rapido Bike Taxi;Transportation;Bike Taxi;Bengaluru;Westbridge Capital;Series B;3,90,00,00,000;nan
62;2019/07/02;RenewBuy;Finance;Auto Insurance;Gurgaon;Lok Capital, IIFL Wealth;Series B;1,90,00,000;nan
63;2019/07/02;Atlan;Information Technology;Big Data;Singapore;WaterBridge Ventures;Pre-Series A;25,00,000;nan
64;2019/07/01;WizCounsel;Compliance;Consulting;New Delhi;Kapil Dev;Angel;1,45,000;nan
65;2019/07/03;Ola Cabs;Transport;Cabs;Kormangala;DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury;Series J;10,00,000;nan
66;2019/07/01;Uniphore;Artificial Intelligence;Speech Recognition;Taramani;March Capital Partners;Series C;3,80,80,000;nan
67;2019/07/04;Daalchini Technologies;Food and Beverage;Digital Vending Machine;New Delhi;Artha Venture;Seed Round;5,00,000;nan
68;2019/07/10;"""BYJU\\'S""";EdTech;Education;Bengaluru;Qatar Investment Authority;Private Equity Round;15,00,00,000;nan
69;2019/07/11;Moglix;E-Commerce;Industrial Tools and Equipments;Singapore;Composite Capital Management, Sequoia Capital India, Tiger Global Management;Series D;6,00,00,000;nan
70;2019/07/10;Ezyhaul;Tech;Logistics;Singapore;Undisclosed;Series B;1,60,00,000;nan
71;2019/07/10;Indus OS;Tech;Smartphone Operating System;Andheri;Ventureast;Series B;57,50,000;nan
72;2019/07/10;HealthAssure;Health Care;Primary care medical network;Mumbai;Blume Ventures;Series A;25,00,000;nan
73;2019/07/09;House of Msasaba;Luxury Label;Clothes and Apparel;Mumbai;Binny Bansal;Series A;10,00,000;nan
74;2019/07/08;Board Infinity;EdTech;Full-stack career platform;Chembur;Multiple Angel Investors;Angel Round;3,19,605;nan
75;2019/06/05;NoBroker;E-Commerce;Real Estate;Bengaluru;General Atlantic;Series C;5,10,00,000;nan
76;2019/06/04;Bira91;Food and Beverage;Brewery;New Delhi;Anicut Capital;Debt Funding;1,00,00,000;nan
77;2019/06/03;FabHotels;E-Commerce;Hospitality;Gurgaon;Goldman Sachs, Accel Partners and Qualcomm;;48,89,975.54;nan
78;2019/06/03;Avail Finance;Finance;FinTech;Bengaluru;Matrix Partners;Series A;90,00,000;nan
79;2019/06/04;BharatPe;Finance;FinTech;New Delhi;Insight Partners;Series B;7,50,00,000;nan
80;2019/06/04;Recykal;Waste Management Service;Optimization;Hyderabad;Triton Investment Advisors, Pidilite Industries director Ajay Parekh;pre-Series A;2,60,00,000;nan
81;2019/06/03;Agara Labs;Deep-Tech;Artificial Intelligence;Bengaluru;Blume Ventures and RTP Global;pre-Series A;25,00,000;nan
82;2019/06/06;Sistema.bio;Agriculture;Hybrid Reactor Biodigestor;Nairobi;Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand;;27,39,034.68;nan
83;2019/06/06;Chakr Innovation;Energy;Renewable Energy;New Delhi;IAN Fund;Series A;2,60,00,000;nan
84;2019/06/06;Pratilipi;Digital Media;E-Books;Bengaluru;Qiming Venture Partners;Series B;1,51,09,500.00;nan
85;2019/06/10;Bolo App;Digital Media;Video Platform;Bengaluru;Nexus Venture Partners;Seed Funding;4,30,200;nan
86;2019/06/10;OkCredit;FinTech;Financial Services;Haryana;Tiger Global Management;Series A;1,55,00,000;nan
87;2019/06/06;Biz2Credit;FinTech;Online Lending Platform;New York;WestBridge Capital;Series B;5,20,00,000;nan
88;2019/06/08;Vogo Automotive Pvt. Ltd.;Transportation;Dockless Scooter Rental Company;Karnataka;Alteria Capital;Debt Funding;35,84,000;nan
89;2019/06/04;Leegality;Services;Digital Documentation;Mumbai/Bengaluru;Mumbai Angels;Series A;34,00,000;nan
90;2019/05/06;Ola Electric;Transport;Cabs;Bengaluru;Tata Sons;Series A;undisclosed;nan
91;2019/05/06;Saahas Zero Waste;Waste Management Service;Optimization;Bengaluru;C4D Partners;Venture - Series Unknown;8,68,600;nan
92;2019/05/05;StyleDotMe;E-commerce;Fashion and Shopping;Delhi;Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana;Bridge Round;undisclosed;nan
93;2019/05/01;BlackBuck;Transport;Logistics;Bengaluru;Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,;Series D;15,00,00,000;nan
94;2019/05/02;Zenoti;Saas;Beauty and Wellness Industry;Hyderabad;Tiger Global Management;Series C;5,00,00,000;nan
95;2019/05/28;Ather Energy;Automobile;Electric Vehicle;Bengaluru;Sachin Bansal;Series C;5,10,00,000;nan
96;2019/05/28;FreshVnF;Agtech;Fresh Agriculture Produces;Mumbai;Equanimity Ventures;Seed Round;14,00,00,000;nan
97;2019/05/30;GlowRoad;E-commerce;Retail;Bengaluru;Korea Investment Partners, Vertex Ventures;Series B;1,15,00,000;nan
98;2019/05/31;Bira91;Food and Beverage;Brewery;New Delhi;Sixth Sense Ventures;Series B;56,00,000;nan
99;2019/04/16;Kuvera;Finance;Wealth Management;Bengaluru;Eight Roads;Series A;4,50,00,000;nan
100;2019/04/12;Medlife;E-commerce;Online Medicine;Bengaluru;Prasid Uno Family Trust;Private Equity;1,70,00,000;nan
101;2019/04/10;Kabadiwala;E-commerce;Waste Management;Bhopal;Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,;Private Equity;4,30,665;nan
102;2019/04/13;Tripoto;Social Media;Travel;New Delhi;Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV;Series B;35,91,375;nan
103;2019/04/12;Azah;Health and Wellness;Organic wellness;Gurugram;Unnamed angel investors;Seed Funding;2,00,000;nan
104;2019/04/11;Setu;Fintech;Banking;Bengaluru;Lightspeed India Partners;Seed Funding;35,00,000;nan
105;2019/04/10;Toppr;Edtech;E-learning;Mumbai;Milestone;Debt and Preference capital;63,20,820;nan
106;2019/04/10;Craftsvilla;E-commerce;Fashion and Apparel;Mumbai;Supera Pte Ltd;Inhouse Funding;24,43,495;nan
107;2019/04/10;Unacademy;Edtech;E-learning;Bengaluru;Kalyan Krishnamurthy;Seed/ Angel Funding;3,07,000;nan
108;2019/04/11;CleverTap;SaaS;Mobile analytics and marketing;Mumbai;Sequoia India, Tiger Global Management, Accel Partners;Series B;2,60,00,000;nan
109;2019/04/19;My Healthcare;E-commerce;Software Solutions;Bengaluru and Gurugram;Sixth Sense Ventures;Series A;30,00,000;nan
110;2019/04/19;KrazyBee;E-commerce;Lending Platform;Bengaluru;BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital;Debt;14,342,000+;nan
111;2019/04/17;Shuttl;Transportation;Bus Aggregation;Gurugram;New Atlantic Ventures;Venture Round;50,00,000;nan
112;2019/04/17;Increff;Technology;Supply-chain technology solutions;Bengaluru;021 Capita, Binny Bansal;Series A;30,00,000;nan
113;2019/02/01;FleetX;AI;Logistics;Gurgaon;India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund;Pre Series A;Undisclosed;nan
114;2019/02/08;Zilingo;Ecommerce;Fashion & Apparel;India/Singapore;Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina;Series D;22,60,00,000;nan
115;2019/02/13;NanoClean Global;Nanotechnology;Anti-Pollution;New Delhi;LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments;Series A;6,00,000;nan
116;2018/02/14;OyoRooms;Hospitality;Budget Rooms;Gurgaon;DiDi Chuxing;Equity;10,00,00,000;nan
117;2019/01/03;CarDekho;Automobile;Online Marketplace;Jaipur;Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank;Series C;11,00,00,000;nan
118;2019/01/04;Vyome Therapeutics Inc.;Health and Wellness;Specialty pharmaceutical;India/US;Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital;Series D;2,20,00,000;nan
119;2019/01/04;Samunnati Financial Intermediation & Services Pvt. Ltd;Finance;Non-banking financial company;Chennai;MASSIF, a Dutch government fund;Debt-Funding;50,00,000;nan
120;2018/12/04;Manch;Social Media;Hyperlocal Content;Delhi;Stellaris Venture Partners;Seed Funding;7,00,000;nan
121;2018/12/01;UrbanClap Technologies Pvt. Ltd;Services Platform;Home services marketplace;New Delhi;Steadview Capital and Vy Capital.;Series D;5,00,00,000;nan
122;2018/12/02;Guiddoo;Travel Tech;Platform for travel agents;Mumbai;Individual Investors;Pre-Series A;8,00,000;nan
123;2018/12/02;Career Anna;Online Education;Video-based certification, trainings;Gurugram;Individual Investors;Pre-Series A;5,72,000;nan
124;2018/12/04;Nagpur Wholesale;Online Marketplace;eCommerce;Nagpur;Omphalos Ventures India LLP;Seed Funding;1,43,000;nan
125;2018/12/06;ShopKirana;B2B;eCommerce;Indore;Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.;Seed Funding;20,00,000;nan
126;2018/12/06;BuildSupply;SaaS, Ecommerce;Real Estate, ERP;Gurugram;Venture Highway, GREE Ventures, Space Matrix, Individual Investors;Series A;35,00,000;nan
127;2018/11/01;GoDesi;Food and Beverage;Regional Flavours;Bengaluru;Lead Angels Network;Seed/ Angel Funding;1,38,995;nan
128;2018/11/03;Veritas Finance Ltd.;NBFC;MSME Finance;Chennai;Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai;Series D;2,77,99,000;nan
129;2018/11/06;Meesho;Ecommerce;Social Commerce;Bengaluru;Shunwei Capital, DST Partners and RPS Ventures;Series C;5,00,00,000;nan
130;2018/11/08;Mobile Premier League;Gaming;Mobile e-Sports;Bengaluru;Undisclosed;Series A;5,00,000;nan
131;2018/11/08;A&R Bon Vivants;Food;Meat Retail Chain;Jaipur;RB Investments, Singapore;Equity;10,00,000;nan
132;2018/11/12;Blackbuck;Food Tech;POS For Online Ordering;New York, Bengaluru;Tiger Global;Series A;10,00,000;nan
133;2018/11/12;MilkBAsket;Food;Micro-delivery grocery service;New Delhi;Mayfield Fund;Series B;13,00,000;nan
134;2018/11/13;DriveU;Transport;On-Demand Drivers;Bengaluru;Stevens Creek Ventures;Mezzanine;10,00,000;nan
135;2018/11/14;CleanseCar;Services;Car Wash;Bengaluru;Venture Catalysts;Seed/ Angel Funding;5,00,000;nan
136;2018/11/19;Automation Anywhere;Automation;Robotics;California;SoftBank Vision Fund;Series B;30,00,00,000;nan
137;2018/11/20;HealthifyMe;Health and Wellness;Wellness Coach;Bengaluru;Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.;Series B (Extension);60,00,000;nan
138;2018/11/21;Genius Corner;Education;Personalized Learning;Noida;Individual investors;Seed Funding;2,78,000;nan
139;2018/11/22;Aavishkaar-Intellecap Group;Investment;SME Funding;Mumbai;Teachers Insurance and Annuity Association (TIAA);Equity Based Funding;3,10,00,000;nan
140;2018/11/22;Skillbox;Social Network;Art;Gurugram;Individual investors;Seed Funding;Undisclosed;nan
141;2018/11/23;Signzy;Financial Tech;Digital Onboarding Solution;Mumbai/Bengaluru;Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India;Series A;34,00,000;nan
142;2018/11/24;Engineer.ai;Software;AI Platform;India/US;Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.;Series A;2,95,00,000;nan
143;2018/11/25;InCred Finance;Finance;SME Lending;India;Paragon Partners, Individual Investors;Private Equity;4,20,00,000;nan
144;2018/11/25;Roposo;Social Media;Video Sharing;Delhi;Bertelsmann India Investments;Series B;17,00,000;nan
145;2018/10/01;Northmist;Fashion;Mens Wear;Delhi;Prashant Jaiswal;Seed/ Angel Funding;N/A;nan
146;2018/10/02;Origo Commodities India Pvt. Ltd;Logistics;Supply Chain;Hyderabad;Cooperative Oikocredit, Caspian and Hivos-Triodos Fund;Seed/ Angel Funding;1,10,00,000;nan
147;2018/10/04;Grover Zampa;Food;Wine;Mumbai;Ravi Viswanathan;Private Equity;82,00,000;nan
148;2018/10/05;Droom;Automobile;New and Used Cars Platform;Gurgaon;ZigExN;Series E;30,00,000;nan
149;2018/10/11;Innov8;Real Estate;Co-Working;New Delhi;Credence Family Office;Pre-Series A;40,00,000;nan
150;2018/10/12;Blackbuck;Logistics Tech;Largest Trucking Platform;Bengaluru;Sequoia Capital India;Private Funding;1,46,80,000;nan
151;2018/10/12;LetsTransport;Logistics Tech;Book Trucks Online;Bengaluru;Fosun International;Series C;1,20,00,000;nan
152;2018/09/01;Netmeds;Consumer Internet;Online Pharmacy Chain;Chennai;Sistema Asia Fund, Sistema JSFC and Tanncam Investment;Private Equity;3,50,00,000;nan
153;2018/09/03;Udaan;B2B Platform;Logistics and Shipping;Bengaluru;DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.;Private Equity;22,50,00,000;nan
154;2018/09/03;Daily hunt;Consumer Internet;News and ebooks Mobile App\\xc2\\xa0;Bengaluru;Falcon Edge;Private Equity;63,90,000;nan
155;2018/09/04;3HCare;Healthcare;Healthcare Service Provider;Delhi;N/A;Seed / Angel Funding;10,00,000;nan
156;2018/09/04;HappyGoEasy;Consumer Internet;Online Travel Agecy;Gurugram;Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others;Private Equity;N/A;nan
157;2018/09/05;Nykaa;Consumer Internet;Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products;Mumbai;Lighthouse;Private Equity;15,72,00,000;nan
158;2018/09/05;Mad Street Den;Technology;Computer Vision And Artificial Intelligence (Ai) Platform;Chennai;KDDI\\xc2\\xa0;Private Equity;N/A;nan
159;2018/09/06;Dream11;Consumer Internet;Online Gaming Platform;Mumbai;Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management;Private Equity;10,00,00,000;nan
160;2018/09/10;MamaEarth;Healthcare;Online Marketplace For Mother and Babycare Products;Gurugram;Stellaris Ventures & Others;Private Equity;40,00,000;nan
161;2018/09/11;AutoGrid;Technology;AI-Based Energy Optimisation and Control Provider;Bengaluru;CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska;Private Equity;3,20,00,000;nan
162;2018/09/11;Pharmeasy;Consumer Internet;Online Marketplace For Pharmaceutical Products;Mumbai;InnoVen Capital;Debt Funding;55,00,000;nan
163;2018/09/11;Upwards;Fin-Tech;Online Micro Lending Marketplace;Mumbai;Shunwei Capital,Quotient, Mayfield & Others;Private Equity;50,00,000;nan
164;2018/09/12;Kissht;Fin-Tech;Online lending Platform;Mumbai;Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n;Private Equity;3,00,00,000;nan
165;2018/08/01;dishq;Food-Tech;Personalisation Technology Firm Focusing On The Food And Beverage Industry;Bengaluru;Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners;Seed/ Angel Funding;4,00,000;nan
166;2018/08/01;HealthFin;Finance;Patient Financing Platform;Pune;Axilor, Sprout Venture Partners and others;Seed/ Angel Funding;N/A;nan
167;2018/08/02;Samosa Labs;Consumer Internet;Social Media and Chat Entertainment Platform;Hyderabad;Xiaomi and Sequoia Capital India;Private Equity;70,00,000;nan
168;2018/08/03;ZiffyHomes;Consumer Internet;Online Home Rental Marketplace;Gurugram;Y Combinator;Private Equity;1,20,000;nan
169;2018/08/07;My OmNamo;Consumer Internet;Holy Platform Offering Customised Puja Packages To Individuals and Corporates;Mumbai;N/A;Seed/ Angel Funding;10,00,000;nan
170;2018/08/07;ShopX;Consumer Internet;Assisted E-commerce Platform;Bengaluru;Fung Strategic Holdings;Private Equity;3,50,00,000;nan
171;2018/08/07;MakeMyTrip;Consumer Internet;Online Travel Aggregator;Gurugram;MakeMyTrip Limited;Private Equity;1,00,00,000;nan
172;2018/08/08;Hansel io;Consumer Internet;Real-time Mobile App Management;Bengaluru;Vertex Ventures;Seed/ Angel Funding;40,00,000;nan
173;2018/08/08;Metro Bikes;Consumer Internet;Online Bike Rental Marketplace;Bengaluru;Sequoia Capital India Advisors, Accel Partners and G Raghunandan;Private Equity;1,22,00,000;nan
174;2018/08/08;Phone Pe;Consumer Internet;UPI Payments App;Bengaluru;Flipkart;Private Equity;6,60,00,000;nan
175;2018/08/09;quizizz;Ed-Tech;e-learning Platform;Bengaluru;Nexus Venture Partners, Prime Venture Partners and Others;Seed/ Angel Funding;30,00,000;nan
176;2018/08/09;Happy EMI;Fin-Tech;Consumer Financing Platform;Bengaluru;AJ Ventures and Jain International Trade Organisation (JITO);Seed/ Angel Funding;10,00,000;nan
177;2018/08/13;Inthree;Consumer Internet;Rural E-commerce Platform;Chennai;Ventureast, Orios Venture Partners and the IAN Fund;Seed/ Angel Funding;40,00,000;nan
178;2018/08/13;Observe AI;Technology;AI Based Solutions Platform;Bengaluru;Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator;Private Equity;80,00,000;nan
179;2018/08/16;Enakshi;Consumer Internet;AI Based Solutions Platform;Ahemadabad;N/A;Seed/ Angel Funding;1,14,811;nan
180;2018/08/17;EazyDiner;Consumer Internet;Online Restaurant Table Reservation Platform;Gurugram;Denlow Investment Trust and Beenext;Private Equity;58,50,000;nan
181;2018/08/20;Finzy;Finance;Online Loan Matchmaking Platform;Bengaluru;N/A;Seed / Angel Funding;10,00,000;nan
182;2018/08/20;RawPressery;Consumer Internet;Online Organic Juice Delivery Service;Mumbai;Alteria Capital;Debt Funding;48,00,000;nan
183;2018/08/22;Pi Ventures;Technology;Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform;Bengaluru;CDC Group plc\\xc2\\xa0;Private Equity;60,00,000;nan
184;2018/08/22;Revv;Consumer Internet;Online Indian Car Rental Platform;Gurugram;Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment;Private Equity;1,42,70,000;nan
185;2018/08/26;ZestMoney;Consumer Internet;Online Lending Platform;Bengaluru;Xiaomi,PayU, Ribbit Capital and Omidyar Network;Private Equity;1,34,00,000;nan
186;2018/08/26;Shubh Loans;Fin-Tech;\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0;Bengaluru;Saama Capital, SRI Capital, Beenext, and Pravega Ventures;Private Equity;42,00,000;nan
187;2018/08/27;MyUpchar;Healthcare;Local Language Health Content App;Delhi;Nexus Venture Partners, Omidyar Network and Shunwei Capital;Private Equity;50,00,000;nan
188;2018/08/28;Narvar;IT;Post-Purchase Customer Engagement Platform\\xc2\\xa0;Bengaluru;Accel (formerly known as Accel Partners);Private Equity;30,00,000;nan
189;2018/08/30;True North;Finance;Private Equity Firm;Mumbai;N/A;Private Equity;60,00,00,000;nan
190;2018/07/01;Leena AI;Technology;HR Virtual Agent For Employees;Gurugram;Y Combinator;Seed/ Angel Funding;N/A;nan
191;2018/07/02;Biryani By Kilo;Consumer Internet;Online Food Delivery;Gurugram;Ajay Relan and Vinay Mittal;Seed/ Angel Funding;10,00,000;nan
192;2018/07/04;Anchanto;IT;E-commerce Fulfilment Platform;Pune;MDI Ventures & Telkom Indonesia;Private Equity;40,00,000;nan
193;05/072018;Loan Tap;Consumer Internet;Online Lending Platform For Salaried Professionals;Mumbai;Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital;Private Equity;62,50,000;nan
194;2018/07/06;PolicyBazaar;Consumer Internet;Online Insurance Selling Platform;Gurugram;Info Edge (India) Ltd and Temasek;Private Equity;2,77,00,000;nan
